event_type,timestamp,x,y,is_click,mood
move,1765280859.255845,436.8828125,794.578125,0,calm
move,1765280859.255931,436.421875,794.578125,0,calm
move,1765280859.2559931,435.9609375,794.578125,0,calm
move,1765280859.277632,435.9609375,794.34765625,0,calm
move,1765280859.277686,436.1875,794.1171875,0,calm
move,1765280859.284141,437.05859375,793.82421875,0,calm
move,1765280859.291797,439.4375,792.87109375,0,calm
move,1765280859.298769,441.0625,792.4609375,0,calm
move,1765280859.3066921,445.71875,790.12890625,0,calm
move,1765280859.313846,452.03515625,786.96875,0,calm
move,1765280859.322361,457.453125,784.55859375,0,calm
move,1765280859.3295639,464.51953125,780.69921875,0,calm
move,1765280859.337471,465.73828125,779.4765625,0,calm
move,1765280859.3442729,465.96484375,779.015625,0,calm
move,1765280859.3524082,466.19140625,778.78515625,0,calm
move,1765280860.235857,466.19140625,778.5546875,0,calm
move,1765280860.236793,466.19140625,778.32421875,0,calm
move,1765280860.498214,466.19140625,778.09375,0,calm
move,1765280860.499434,466.41796875,777.86328125,0,calm
move,1765280860.514303,466.875,777.6328125,0,calm
move,1765280860.5224168,468.5,776.81640625,0,calm
move,1765280860.529141,470.40234375,774.91015625,0,calm
move,1765280860.537159,473.53125,773.34375,0,calm
move,1765280860.544967,477.42578125,771.671875,0,calm
move,1765280860.551903,478.296875,771.37890625,0,calm
move,1765280860.560079,482.953125,769.62890625,0,calm
move,1765280860.5670888,487.02734375,767.296875,0,calm
move,1765280860.575145,490.15625,765.73046875,0,calm
move,1765280860.581389,493.4921875,763.50390625,0,calm
move,1765280860.587522,496.828125,761.27734375,0,calm
move,1765280860.597346,499.609375,757.9375,0,calm
move,1765280860.604373,503.22265625,753.71875,0,calm
move,1765280860.61233,506.234375,748.8984375,0,calm
move,1765280860.620397,510.73046875,742.46875,0,calm
move,1765280860.627286,514.51953125,736.1484375,0,calm
move,1765280860.633545,519.08203125,728.9765625,0,calm
move,1765280860.640479,523.64453125,721.15234375,0,calm
move,1765280860.647427,528.30859375,711.81640625,0,calm
move,1765280860.655494,533.73046875,701.640625,0,calm
move,1765280860.663476,538.4765625,690.7890625,0,calm
move,1765280860.670516,540.8046875,686.12890625,0,calm
move,1765280860.6774452,546.30078125,673.7578125,0,calm
move,1765280860.685523,552.546875,660.5625,0,calm
move,1765280860.693446,559.546875,645.8515625,0,calm
move,1765280860.700496,566.59765625,629.625,0,calm
move,1765280860.707433,573.78125,611.6640625,0,calm
move,1765280860.715544,580.24609375,593.703125,0,calm
move,1765280860.723478,585.79296875,571.50390625,0,calm
move,1765280860.730415,588.9609375,549.3046875,0,calm
move,1765280860.737421,590.47265625,528.86328125,0,calm
move,1765280860.745601,590.47265625,508.421875,0,calm
move,1765280860.753453,587.66015625,491.546875,0,calm
move,1765280860.7603579,582.73828125,475.375,0,calm
move,1765280860.768406,580.26171875,469.1875,0,calm
move,1765280860.775318,572.62109375,455.9921875,0,calm
move,1765280860.782466,563.63671875,444.9375,0,calm
move,1765280860.790304,554.015625,436.00390625,0,calm
move,1765280860.7972999,543.0859375,429.171875,0,calm
move,1765280860.8053288,532.234375,424.421875,0,calm
move,1765280860.8122182,521.46875,421.0546875,0,calm
move,1765280860.820161,509.9375,418.33984375,0,calm
move,1765280860.827064,498.40625,416.98046875,0,calm
move,1765280860.8350332,486.875,416.98046875,0,calm
move,1765280860.843312,476.87109375,417.64453125,0,calm
move,1765280860.8512409,472.97265625,418.75390625,0,calm
move,1765280860.86017,465.2578125,421.32421875,0,calm
move,1765280860.8673909,458.9375,425.11328125,0,calm
move,1765280860.875336,453.06640625,431.62890625,0,calm
